Community,Elevation_m,Latitude,AnnualAvgLow_C,Is_Cold_Zone
"Alberton, PE",3.0,46.85,1.3,0
"Baker Lake, NU",18.6,64.29889,-15.2,1
"Baie-Comeau, QC",22.0,49.13333,-3.3,1
"Calgary, AB",1084.0,51.11389,-1.9,1
"Charlottetown, PE",49.0,46.28861,1.3,0
"Churchill, MB",29.0,58.73917,-10.7,1
"Corner Brook, NL",5.0,48.95,1.3,0
"Dawson City, YT",370.0,64.04306,-10.3,1
"Edmonton, AB",671.0,53.57333,-1.0,1
"Edmundston, NB",163.0,47.34639,-2.3,1
"Fort Nelson, BC",382.0,58.83639,-6.0,1
"Fredericton, NB",21.0,45.87222,-0.2,1
"Halifax, NS",145.0,44.88,1.9,0
"High Level, AB",338.0,58.62139,-7.2,1
"Inuvik, NT",68.0,68.30417,-12.9,1
"Iqaluit, NU",34.0,63.75,-13.1,1
"Kamloops, BC",345.3,50.70222,3.7,0
"Kugluktuk, NU",23.0,67.81667,-14.4,1
"La Ronge, SK",379.0,55.15,-5.5,1
"Mayo, YT",504.0,63.61667,-8.2,1
"Moncton, NB",71.0,46.10528,0.1,0
"Montreal, QC",36.0,45.46667,2.0,0
"Nain, NL",6.0,56.55,-6.6,1
"Norman Wells, NT",73.0,65.2825,-9.9,1
"Ottawa, ON",114.0,45.3225,1.4,0
"Princeton, BC",700.0,49.46806,0.2,0
"Quebec City, QC",74.0,46.8,-0.8,1
"Regina, SK",578.0,50.43333,-3.2,1
"Resolute, NU",68.0,74.71694,-18.6,1
"Saskatoon, SK",504.0,52.16667,-3.5,1
"St. John's, NL",141.0,47.62222,1.0,0
"Summerside, PE",20.0,46.43889,1.6,0
"Sydney, NS",62.0,46.16667,1.4,0
"Thompson, MB",224.0,55.80333,-9.1,1
"Timmins, ON",295.0,48.56972,-4.3,1
"Toronto, ON",173.0,43.67722,3.3,0
"Vancouver, BC",4.0,49.195,6.8,0
"Victoria, BC",20.0,48.64722,5.6,0
"Whitehorse, YT",706.0,60.70944,-5.2,1
"Windsor, ON",190.0,42.27556,5.4,0
"Winnipeg, MB",239.0,49.91667,-2.7,1
"Yarmouth, NS",43.0,43.83083,3.2,0
"Yellowknife, NT",206.0,62.46278,-8.6,1
