age,monthly_income,daily_internet_hours,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,gender,city_tier,shopping_preference,Is_Online,processed_at
56,221111,6.5,6,16,16,28551,144092,Other,Tier 3,Store,0,2026-03-05 14:19:15.683837
69,96029,8.2,9,14,1,124056,28421,Male,Tier 3,Hybrid,0,2026-03-05 14:19:15.683837
46,19055,6.4,8,2,0,81939,128229,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
32,53170,6.4,10,20,3,35901,134650,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
60,244016,6.0,5,18,16,131971,34122,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
25,114976,7.6,7,31,6,92423,123383,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
78,43251,4.9,8,10,4,26398,18035,Other,Tier 2,Hybrid,0,2026-03-05 14:19:15.683837
38,150604,3.1,9,17,7,131561,33308,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
56,150996,7.3,3,28,0,123438,97145,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
75,63037,6.8,8,2,9,74311,79808,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
36,224154,8.6,3,49,3,56198,140722,Male,Tier 3,Store,0,2026-03-05 14:19:15.683837
40,107115,1.1,1,3,13,40543,46725,Female,Tier 3,Store,0,2026-03-05 14:19:15.683837
28,217693,5.8,4,27,8,83429,122126,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
28,92926,6.2,7,8,16,81177,19617,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
41,224888,3.0,9,37,13,49294,103713,Male,Tier 2,Store,0,2026-03-05 14:19:15.683837
70,235726,5.8,10,6,18,73565,139218,Male,Tier 1,Store,0,2026-03-05 14:19:15.683837
53,85400,8.4,7,0,1,30148,58440,Other,Tier 2,Store,0,2026-03-05 14:19:15.683837
57,114525,10.2,10,34,13,98395,98336,Female,Tier 1,Store,0,2026-03-05 14:19:15.683837
